PASSENGERS,ORIGIN_AIRPORT_ID,ORIGIN,MONTH
6861,11298,DFW,4
6861,10821,BWI,5
6861,10994,CHS,6
6861,12191,HOU,8
6862,14576,ROC,3
6862,12889,LAS,4
6862,11298,DFW,5
6862,13930,ORD,5
6862,10821,BWI,5
6862,12266,IAH,6
6862,12953,LGA,8
6862,14100,PHL,8
6863,13244,MEM,3
6863,15376,TUS,8
6863,10423,AUS,9
6863,13830,OGG,10
6864,13486,MSO,6
6864,14492,RDU,6
6864,14771,SFO,3
6864,12266,IAH,8
6864,12892,LAX,4
6865,11109,COS,4
6865,14869,SLC,2
6865,14679,SAN,3
6865,10431,AVL,7
6865,10423,AUS,1
6865,14869,SLC,2
6865,14122,PIT,2
6866,14679,SAN,8
6866,13930,ORD,6
6866,12954,LGB,9
6867,11618,EWR,8
6867,14893,SMF,9
6868,14057,PDX,10
6868,14893,SMF,1
6868,11697,FLL,2
6868,13930,ORD,7
6868,13487,MSP,10
6869,14107,PHX,10
6869,13204,MCO,5
6869,11884,GEG,6
6869,10800,BUR,7
6869,12264,IAD,6
6870,11042,CLE,4
6870,14679,SAN,5
6870,15376,TUS,6
6870,12478,JFK,6
6871,11042,CLE,5
6871,10713,BOI,10
6871,13303,MIA,3
6871,14679,SAN,9
6872,13198,MCI,4
6872,13204,MCO,3
6872,14771,SFO,1
6872,13930,ORD,1
6872,12892,LAX,4
6873,10423,AUS,4
6873,12266,IAH,1
6873,11697,FLL,2
6873,12892,LAX,8
6874,12451,JAX,6
6874,11298,DFW,10
6874,14747,SEA,6
6874,11298,DFW,6
6875,13303,MIA,7
6875,11433,DTW,10
6875,10792,BUF,3
6875,12264,IAD,7
6876,15376,TUS,4
6876,13198,MCI,4
6876,10713,BOI,8
6878,10423,AUS,7
6878,14747,SEA,7
6878,11298,DFW,4
6878,14747,SEA,10
6878,11278,DCA,10
6878,10868,CAE,1
6878,12264,IAD,3
6878,12264,IAD,4
6878,13204,MCO,10
6879,11259,DAL,4
6879,11259,DAL,2
6879,11292,DEN,3
6879,11292,DEN,3
6880,11259,DAL,5
6881,14771,SFO,3
6881,15304,TPA,9
6881,12892,LAX,10
6881,11292,DEN,2
6881,10874,CAK,8
6881,11298,DFW,7
6882,11292,DEN,1
6882,15376,TUS,3
6883,12889,LAS,6
6883,10980,CHA,4
6883,10994,CHS,7
