"PASSENGERS","ORIGIN_AIRPORT_ID","ORIGIN","MONTH",
0.00,10397,"ATL",6,
0.00,10529,"BDL",6,
0.00,10721,"BOS",6,
0.00,10792,"BUF",6,
0.00,10821,"BWI",6,
0.00,10868,"CAE",6,
0.00,11298,"DFW",6,
0.00,11423,"DSM",6,
0.00,12478,"JFK",6,
0.00,13230,"MDT",6,
0.00,13296,"MHT",6,
0.00,13487,"MSP",6,
0.00,13796,"OAK",6,
0.00,13891,"ONT",6,
0.00,13930,"ORD",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14122,"PIT",6,
0.00,14122,"PIT",6,
0.00,14122,"PIT",6,
0.00,14524,"RIC",6,
0.00,14730,"SDF",6,
0.00,14730,"SDF",6,
0.00,14730,"SDF",6,
0.00,15096,"SYR",6,
0.00,10434,"AVP",6,
0.00,13485,"MSN",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,10397,"ATL",1,
0.00,10529,"BDL",1,
0.00,10721,"BOS",1,
0.00,10792,"BUF",1,
0.00,10868,"CAE",1,
0.00,11298,"DFW",1,
0.00,11423,"DSM",1,
0.00,12478,"JFK",1,
0.00,13230,"MDT",1,
0.00,13230,"MDT",1,
0.00,13244,"MEM",1,
0.00,13296,"MHT",1,
0.00,13487,"MSP",1,
0.00,13796,"OAK",1,
0.00,13891,"ONT",1,
0.00,13930,"ORD",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14112,"PIE",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14524,"RIC",1,
0.00,14730,"SDF",1,
0.00,14730,"SDF",1,
0.00,14730,"SDF",1,
0.00,15096,"SYR",1,
0.00,10322,"AOO",1,
0.00,12559,"JST",1,
0.00,14100,"PHL",1,
0.00,12889,"LAS",1,
0.00,13303,"MIA",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14524,"RIC",1,
0.00,14711,"SCE",1,
0.00,14711,"SCE",1,
0.00,14711,"SCE",1,
0.00,14254,"PSE",1,
0.00,10135,"ABE",1,
0.00,10721,"BOS",1,
0.00,12390,"ISO",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14570,"RNO",1,
0.00,14679,"SAN",1,
0.00,11140,"CRP",1,
0.00,11193,"CVG",1,
0.00,14100,"PHL",1,
0.00,15016,"STL",1,
0.00,10434,"AVP",1,
0.00,10721,"BOS",1,
0.00,12217,"HSV",1,
0.00,12953,"LGA",1,
0.00,13230,"MDT",1,
0.00,14100,"PHL",1,
0.00,11540,"ELP",1,
0.00,10135,"ABE",1,
0.00,10135,"ABE",1,
0.00,10135,"ABE",1,
0.00,10434,"AVP",1,
0.00,11042,"CLE",1,
0.00,11618,"EWR",1,
0.00,12339,"IND",1,
0.00,12339,"IND",1,
0.00,12339,"IND",1,
0.00,12339,"IND",1,
0.00,12365,"IPT",1,
0.00,12478,"JFK",1,
0.00,13230,"MDT",1,
0.00,13230,"MDT",1,
0.00,13230,"MDT",1,
0.00,13230,"MDT",1,
0.00,13244,"MEM",1,
0.00,13244,"MEM",1,
0.00,13244,"MEM",1,
0.00,13244,"MEM",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14492,"RDU",1,
0.00,14576,"ROC",1,
0.00,14576,"ROC",1,
0.00,14711,"SCE",1,
0.00,15412,"TYS",1,
0.00,10431,"AVL",6,
0.00,10434,"AVP",6,
0.00,10322,"AOO",2,
0.00,12559,"JST",2,
0.00,11193,"CVG",6,
0.00,14100,"PHL",6,
0.00,10397,"ATL",2,
0.00,10529,"BDL",2,
0.00,10721,"BOS",2,
0.00,10792,"BUF",2,
0.00,10868,"CAE",2,
0.00,11298,"DFW",2,
0.00,11423,"DSM",2,
0.00,11618,"EWR",2,
0.00,12478,"JFK",2,
0.00,13230,"MDT",2,
0.00,13230,"MDT",2,
0.00,13296,"MHT",2,
0.00,13303,"MIA",2,
0.00,13487,"MSP",2,
0.00,13796,"OAK",2,
0.00,13891,"ONT",2,
0.00,13930,"ORD",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14524,"RIC",2,
0.00,14730,"SDF",2,
0.00,14730,"SDF",2,
0.00,14730,"SDF",2,
0.00,15096,"SYR",2,
0.00,14092,"PGV",2,
0.00,14100,"PHL",2,
0.00,10849,"BZN",2,
0.00,12264,"IAD",2,
0.00,13230,"MDT",2,
0.00,13342,"MKE",2,
0.00,14100,"PHL",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14570,"RNO",2,
0.00,14100,"PHL",2,
0.00,11193,"CVG",2,
0.00,14100,"PHL",2,
0.00,11995,"GSO",2,
0.00,12898,"LBE",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,13230,"MDT",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14711,"SCE",2,
0.00,10135,"ABE",2,
0.00,11503,"EGE",2,
0.00,13930,"ORD",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14635,"RSW",2,
0.00,14679,"SAN",2,
0.00,14771,"SFO",2,
0.00,14771,"SFO",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14122,"PIT",1,
0.00,10135,"ABE",2,
0.00,10135,"ABE",2,
0.00,10135,"ABE",2,
0.00,10434,"AVP",2,
0.00,11042,"CLE",2,
0.00,11057,"CLT",2,
0.00,11618,"EWR",2,
0.00,11618,"EWR",2,
0.00,11618,"EWR",2,
0.00,12339,"IND",2,
0.00,12339,"IND",2,
0.00,12339,"IND",2,
0.00,12339,"IND",2,
0.00,12365,"IPT",2,
0.00,13230,"MDT",2,
0.00,13230,"MDT",2,
0.00,13230,"MDT",2,
0.00,13230,"MDT",2,
0.00,13230,"MDT",2,
0.00,13244,"MEM",2,
0.00,13244,"MEM",2,
0.00,13244,"MEM",2,
0.00,13244,"MEM",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14321,"PWM",2,
0.00,14576,"ROC",2,
0.00,14711,"SCE",2,
0.00,15412,"TYS",2,
0.00,10557,"BFD",3,
0.00,10557,"BFD",3,
0.00,11441,"DUJ",3,
0.00,11441,"DUJ",3,
0.00,11441,"DUJ",3,
0.00,10322,"AOO",3,
0.00,12559,"JST",3,
0.00,14122,"PIT",3,
0.00,10397,"ATL",3,
0.00,10529,"BDL",3,
0.00,10721,"BOS",3,
0.00,10792,"BUF",3,
0.00,10868,"CAE",3,
0.00,11298,"DFW",3,
0.00,11423,"DSM",3,
0.00,12478,"JFK",3,
0.00,13230,"MDT",3,
0.00,13296,"MHT",3,
0.00,12898,"LBE",6,
0.00,13296,"MHT",6,
0.00,13487,"MSP",3,
0.00,13796,"OAK",3,
0.00,13891,"ONT",3,
0.00,13930,"ORD",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14524,"RIC",3,
0.00,14730,"SDF",3,
0.00,14730,"SDF",3,
0.00,14730,"SDF",3,
0.00,15096,"SYR",3,
0.00,11193,"CVG",3,
0.00,14100,"PHL",3,
0.00,10721,"BOS",3,
0.00,11618,"EWR",3,
0.00,12264,"IAD",3,
0.00,12339,"IND",3,
0.00,12953,"LGA",3,
0.00,13230,"MDT",3,
0.00,13495,"MSY",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14275,"PTK",3,
0.00,14492,"RDU",3,
0.00,14761,"SFB",3,
0.00,10434,"AVP",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14576,"ROC",6,
0.00,14952,"SPI",6,
0.00,10135,"ABE",6,
0.00,10135,"ABE",6,
0.00,10135,"ABE",6,
0.00,10434,"AVP",6,
0.00,10529,"BDL",6,
0.00,11042,"CLE",6,
0.00,11618,"EWR",6,
0.00,12339,"IND",6,
0.00,12339,"IND",6,
0.00,12339,"IND",6,
0.00,12339,"IND",6,
0.00,12339,"IND",6,
0.00,12365,"IPT",6,
0.00,13230,"MDT",6,
0.00,13230,"MDT",6,
0.00,13230,"MDT",6,
0.00,13230,"MDT",6,
0.00,13230,"MDT",6,
0.00,13244,"MEM",6,
0.00,13244,"MEM",6,
0.00,13244,"MEM",6,
0.00,13244,"MEM",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",6,
0.00,14122,"PIT",6,
0.00,14122,"PIT",6,
0.00,14122,"PIT",6,
0.00,14711,"SCE",6,
0.00,14711,"SCE",6,
0.00,14100,"PHL",6,
0.00,11577,"ERI",3,
0.00,13487,"MSP",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14711,"SCE",3,
0.00,13487,"MSP",6,
0.00,12266,"IAH",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14100,"PHL",3,
0.00,14122,"PIT",6,
0.00,14182,"PNE",6,
0.00,11193,"CVG",3,
0.00,14100,"PHL",3,
