"PASSENGERS","ORIGIN_AIRPORT_ID","ORIGIN","MONTH",
0.00,14100,"PHL",8,
0.00,10792,"BUF",11,
0.00,10792,"BUF",11,
0.00,14122,"PIT",12,
0.00,11577,"ERI",6,
0.00,14492,"RDU",7,
0.00,11823,"FWA",2,
0.00,12324,"ILN",3,
0.00,13230,"MDT",5,
0.00,10529,"BDL",11,
0.00,13342,"MKE",3,
0.00,14122,"PIT",2,
0.00,14122,"PIT",12,
0.00,10135,"ABE",3,
0.00,13296,"MHT",3,
0.00,14122,"PIT",1,
0.00,14100,"PHL",9,
0.00,14574,"ROA",12,
0.00,13360,"MLB",7,
0.00,14122,"PIT",8,
0.00,10434,"AVP",7,
0.00,14122,"PIT",11,
0.00,14122,"PIT",11,
0.00,14122,"PIT",11,
0.00,14122,"PIT",11,
0.00,15070,"SWF",12,
0.00,12898,"LBE",5,
0.00,14100,"PHL",4,
0.00,14100,"PHL",12,
0.00,14100,"PHL",12,
0.00,14100,"PHL",12,
0.00,14100,"PHL",12,
0.00,11423,"DSM",8,
0.00,12339,"IND",8,
0.00,12339,"IND",8,
0.00,14100,"PHL",1,
0.00,11042,"CLE",12,
0.00,14100,"PHL",12,
0.00,14711,"SCE",9,
0.00,14100,"PHL",10,
0.00,12544,"JQF",10,
0.00,14100,"PHL",11,
0.00,12951,"LFT",6,
0.00,14100,"PHL",6,
0.00,14100,"PHL",4,
0.00,10135,"ABE",4,
0.00,13230,"MDT",5,
0.00,14122,"PIT",4,
0.00,13296,"MHT",1,
0.00,13487,"MSP",2,
0.00,13930,"ORD",2,
0.00,12339,"IND",1,
0.00,14122,"PIT",2,
0.00,13230,"MDT",2,
0.00,11109,"COS",9,
0.00,14679,"SAN",9,
0.00,14122,"PIT",8,
0.00,14122,"PIT",7,
0.00,14100,"PHL",11,
0.00,14730,"SDF",11,
0.00,14100,"PHL",11,
0.00,13230,"MDT",5,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,10529,"BDL",5,
0.00,10322,"AOO",1,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,12365,"IPT",9,
0.00,14122,"PIT",4,
0.00,14122,"PIT",4,
0.00,14100,"PHL",2,
0.00,10785,"BTV",11,
0.00,14100,"PHL",1,
0.00,10800,"BUR",11,
0.00,14100,"PHL",2,
0.00,14100,"PHL",8,
0.00,14100,"PHL",8,
0.00,14100,"PHL",8,
0.00,14492,"RDU",4,
0.00,14122,"PIT",5,
0.00,14553,"RME",6,
0.00,12559,"JST",7,
0.00,14122,"PIT",5,
0.00,10135,"ABE",5,
0.00,11057,"CLT",5,
0.00,12917,"LCK",10,
0.00,14122,"PIT",9,
0.00,14100,"PHL",8,
0.00,14100,"PHL",8,
0.00,14100,"PHL",8,
0.00,14100,"PHL",8,
0.00,10529,"BDL",8,
0.00,10529,"BDL",8,
0.00,10792,"BUF",7,
0.00,11140,"CRP",6,
0.00,11577,"ERI",9,
0.00,14122,"PIT",11,
0.00,10800,"BUR",12,
0.00,10693,"BNA",9,
0.00,14730,"SDF",7,
0.00,13204,"MCO",7,
0.00,13230,"MDT",6,
0.00,12264,"IAD",8,
0.00,14576,"ROC",8,
0.00,14100,"PHL",11,
0.00,11042,"CLE",4,
0.00,13342,"MKE",11,
0.00,13230,"MDT",2,
0.00,14122,"PIT",12,
0.00,10135,"ABE",4,
0.00,11995,"GSO",11,
0.00,14100,"PHL",12,
0.00,11298,"DFW",7,
0.00,14100,"PHL",11,
0.00,14100,"PHL",11,
0.00,14100,"PHL",11,
0.00,14100,"PHL",6,
0.00,10785,"BTV",8,
0.00,14122,"PIT",12,
0.00,10868,"CAE",4,
0.00,13342,"MKE",8,
