"PASSENGERS","ORIGIN_AIRPORT_ID","ORIGIN","MONTH",
0.00,14100,"PHL",8,
0.00,14100,"PHL",8,
0.00,14100,"PHL",8,
0.00,10792,"BUF",9,
0.00,11995,"GSO",4,
0.00,14553,"RME",4,
0.00,14100,"PHL",7,
0.00,14100,"PHL",7,
0.00,14524,"RIC",7,
0.00,13296,"MHT",9,
0.00,14100,"PHL",11,
0.00,14100,"PHL",11,
0.00,14100,"PHL",11,
0.00,11995,"GSO",11,
0.00,14100,"PHL",11,
0.00,14100,"PHL",2,
0.00,14100,"PHL",3,
0.00,10257,"ALB",5,
0.00,11150,"CSG",5,
0.00,10647,"BKL",5,
0.00,14100,"PHL",6,
0.00,14122,"PIT",6,
0.00,14122,"PIT",7,
0.00,10135,"ABE",4,
0.00,10434,"AVP",1,
0.00,10529,"BDL",8,
0.00,12339,"IND",8,
0.00,14122,"PIT",5,
0.00,13296,"MHT",4,
0.00,10562,"BFM",1,
0.00,14524,"RIC",3,
0.00,12889,"LAS",12,
0.00,14524,"RIC",10,
0.00,12951,"LFT",10,
0.00,14524,"RIC",10,
0.00,14730,"SDF",12,
0.00,14122,"PIT",9,
0.00,14100,"PHL",10,
0.00,14112,"PIE",11,
0.00,13296,"MHT",11,
0.00,10683,"BMG",11,
0.00,12339,"IND",12,
0.00,13296,"MHT",6,
0.00,14730,"SDF",12,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,11042,"CLE",9,
0.00,13204,"MCO",9,
0.00,13487,"MSP",9,
0.00,14100,"PHL",4,
0.00,14100,"PHL",7,
0.00,13230,"MDT",12,
0.00,13230,"MDT",10,
0.00,14100,"PHL",5,
0.00,14100,"PHL",3,
0.00,10158,"ACY",2,
0.00,11278,"DCA",8,
0.00,14122,"PIT",8,
0.00,14122,"PIT",8,
0.00,12266,"IAH",12,
0.00,14711,"SCE",1,
0.00,12324,"ILN",1,
0.00,12324,"ILN",6,
0.00,15096,"SYR",6,
0.00,10135,"ABE",6,
0.00,10135,"ABE",6,
0.00,10135,"ABE",6,
0.00,10792,"BUF",10,
0.00,10792,"BUF",7,
0.00,13230,"MDT",1,
0.00,11618,"EWR",1,
0.00,14100,"PHL",7,
0.00,10868,"CAE",7,
0.00,13487,"MSP",11,
0.00,14100,"PHL",2,
0.00,10135,"ABE",2,
0.00,10529,"BDL",4,
0.00,10529,"BDL",4,
0.00,12264,"IAD",6,
0.00,10397,"ATL",8,
0.00,11721,"FNT",4,
0.00,10557,"BFD",12,
0.00,10721,"BOS",1,
0.00,10721,"BOS",1,
0.00,14100,"PHL",6,
0.00,15096,"SYR",7,
0.00,10397,"ATL",11,
0.00,14730,"SDF",11,
0.00,13244,"MEM",11,
0.00,11618,"EWR",1,
0.00,14100,"PHL",4,
0.00,14100,"PHL",2,
0.00,10529,"BDL",11,
0.00,10888,"CBE",11,
0.00,14100,"PHL",12,
0.00,14100,"PHL",12,
0.00,16133,"YNG",6,
0.00,14100,"PHL",7,
0.00,14100,"PHL",7,
0.00,14100,"PHL",7,
0.00,15070,"SWF",10,
0.00,11996,"GSP",12,
0.00,14730,"SDF",12,
0.00,14730,"SDF",12,
0.00,14730,"SDF",12,
0.00,14730,"SDF",12,
0.00,14730,"SDF",12,
0.00,14100,"PHL",6,
0.00,15295,"TOL",4,
0.00,15295,"TOL",4,
0.00,10397,"ATL",2,
0.00,14321,"PWM",9,
0.00,11057,"CLT",10,
0.00,14524,"RIC",8,
0.00,12324,"ILN",1,
0.00,13244,"MEM",3,
0.00,10135,"ABE",1,
0.00,10135,"ABE",1,
0.00,13230,"MDT",8,
0.00,14100,"PHL",10,
0.00,10874,"CAK",6,
0.00,10557,"BFD",9,
0.00,14100,"PHL",11,
0.00,14100,"PHL",11,
0.00,14100,"PHL",11,
0.00,10135,"ABE",11,
0.00,14100,"PHL",11,
