"PASSENGERS","ORIGIN_AIRPORT_ID","ORIGIN","MONTH",
0.00,11193,"CVG",2,
0.00,13930,"ORD",3,
0.00,13930,"ORD",3,
0.00,13244,"MEM",1,
0.00,13230,"MDT",1,
0.00,10693,"BNA",3,
0.00,12339,"IND",3,
0.00,12339,"IND",3,
0.00,13230,"MDT",4,
0.00,13230,"MDT",3,
0.00,10868,"CAE",1,
0.00,12339,"IND",5,
0.00,14122,"PIT",2,
0.00,12889,"LAS",5,
0.00,11292,"DEN",5,
0.00,13495,"MSY",2,
0.00,14100,"PHL",2,
0.00,14122,"PIT",6,
0.00,11441,"DUJ",4,
0.00,11298,"DFW",3,
0.00,11764,"FRG",3,
0.00,11423,"DSM",4,
0.00,14122,"PIT",6,
0.00,13230,"MDT",1,
0.00,13230,"MDT",1,
0.00,13230,"MDT",1,
0.00,13230,"MDT",1,
0.00,14100,"PHL",5,
0.00,10135,"ABE",4,
0.00,10135,"ABE",1,
0.00,11423,"DSM",5,
0.00,14492,"RDU",5,
0.00,14100,"PHL",1,
0.00,12559,"JST",6,
0.00,14814,"SHV",1,
0.00,14100,"PHL",6,
0.00,14100,"PHL",3,
0.00,13230,"MDT",4,
0.00,11764,"FRG",4,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,12365,"IPT",5,
0.00,13230,"MDT",4,
0.00,13930,"ORD",2,
0.00,13930,"ORD",2,
0.00,10721,"BOS",6,
0.00,10721,"BOS",6,
0.00,13930,"ORD",6,
0.00,13930,"ORD",6,
0.00,14711,"SCE",1,
0.00,14711,"SCE",1,
0.00,14100,"PHL",6,
0.00,10792,"BUF",1,
0.00,12892,"LAX",6,
0.00,14122,"PIT",2,
0.00,13244,"MEM",2,
0.00,14711,"SCE",1,
0.00,10434,"AVP",2,
0.00,14100,"PHL",3,
0.00,14122,"PIT",6,
0.00,12559,"JST",5,
0.00,10800,"BUR",3,
0.00,12339,"IND",3,
0.00,15070,"SWF",4,
0.00,10792,"BUF",3,
0.00,12478,"JFK",4,
0.00,12339,"IND",5,
0.00,13230,"MDT",6,
0.00,14100,"PHL",2,
0.00,10135,"ABE",2,
0.00,10158,"ACY",1,
0.00,12478,"JFK",5,
0.00,11057,"CLT",1,
0.00,13891,"ONT",2,
0.00,10135,"ABE",1,
0.00,12917,"LCK",1,
0.00,14122,"PIT",2,
0.00,14100,"PHL",5,
0.00,14696,"SBN",1,
0.00,14122,"PIT",3,
0.00,14100,"PHL",3,
0.00,12559,"JST",6,
0.00,11193,"CVG",3,
0.00,10135,"ABE",4,
0.00,10135,"ABE",1,
0.00,11193,"CVG",4,
0.00,14122,"PIT",2,
0.00,12478,"JFK",4,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,11441,"DUJ",3,
0.00,11995,"GSO",3,
0.00,14122,"PIT",4,
0.00,13930,"ORD",1,
0.00,12264,"IAD",1,
0.00,14122,"PIT",6,
0.00,14122,"PIT",6,
0.00,15304,"TPA",3,
0.00,10135,"ABE",3,
0.00,11042,"CLE",6,
0.00,13230,"MDT",6,
0.00,11617,"EWN",5,
0.00,14576,"ROC",6,
0.00,12264,"IAD",1,
0.00,14122,"PIT",3,
0.00,13487,"MSP",4,
0.00,14100,"PHL",6,
0.00,10868,"CAE",6,
0.00,14524,"RIC",4,
0.00,15295,"TOL",4,
0.00,15295,"TOL",4,
0.00,10135,"ABE",6,
0.00,14100,"PHL",6,
0.00,13230,"MDT",2,
0.00,15096,"SYR",3,
0.00,14100,"PHL",1,
0.00,15295,"TOL",1,
0.00,14122,"PIT",1,
0.00,15295,"TOL",1,
0.00,13204,"MCO",5,
0.00,14679,"SAN",6,
0.00,13244,"MEM",2,
0.00,11996,"GSP",5,
0.00,14100,"PHL",6,
0.00,13244,"MEM",4,
0.00,14100,"PHL",1,
0.00,11764,"FRG",2,
0.00,14122,"PIT",4,
0.00,14122,"PIT",4,
0.00,14122,"PIT",4,
0.00,10792,"BUF",3,
0.00,11057,"CLT",3,
0.00,14122,"PIT",5,
0.00,14122,"PIT",5,
0.00,14122,"PIT",4,
0.00,13230,"MDT",6,
0.00,14122,"PIT",5,
0.00,10146,"ABY",2,
0.00,14122,"PIT",3,
0.00,14122,"PIT",5,
0.00,11042,"CLE",5,
0.00,10322,"AOO",5,
0.00,11618,"EWR",4,
0.00,14100,"PHL",3,
0.00,13244,"MEM",5,
0.00,13230,"MDT",4,
0.00,10135,"ABE",1,
0.00,11066,"CMH",6,
0.00,13487,"MSP",6,
0.00,12339,"IND",6,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,10397,"ATL",5,
0.00,10397,"ATL",5,
0.00,13296,"MHT",3,
0.00,10557,"BFD",1,
0.00,13230,"MDT",2,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",3,
0.00,14122,"PIT",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14524,"RIC",1,
0.00,14711,"SCE",1,
0.00,14100,"PHL",3,
0.00,14100,"PHL",4,
0.00,10135,"ABE",1,
0.00,10135,"ABE",1,
0.00,13296,"MHT",3,
0.00,11193,"CVG",4,
0.00,14100,"PHL",5,
0.00,10135,"ABE",3,
0.00,10135,"ABE",6,
0.00,10408,"ATW",5,
0.00,11042,"CLE",2,
0.00,14730,"SDF",6,
0.00,14122,"PIT",5,
0.00,14122,"PIT",5,
0.00,12339,"IND",1,
0.00,10792,"BUF",5,
0.00,15096,"SYR",2,
0.00,14100,"PHL",4,
0.00,14100,"PHL",1,
0.00,11540,"ELP",4,
0.00,14100,"PHL",6,
0.00,13930,"ORD",5,
0.00,11884,"GEG",6,
0.00,13244,"MEM",6,
0.00,15096,"SYR",2,
0.00,13204,"MCO",4,
0.00,10434,"AVP",1,
0.00,13930,"ORD",4,
0.00,10434,"AVP",6,
0.00,14100,"PHL",6,
0.00,11193,"CVG",2,
0.00,14107,"PHX",5,
0.00,13244,"MEM",3,
0.00,10557,"BFD",1,
0.00,11193,"CVG",5,
0.00,13244,"MEM",5,
0.00,10792,"BUF",6,
0.00,14122,"PIT",2,
0.00,13230,"MDT",4,
0.00,14122,"PIT",6,
0.00,14122,"PIT",4,
0.00,10800,"BUR",4,
0.00,11298,"DFW",4,
0.00,15024,"STT",4,
0.00,11042,"CLE",2,
0.00,14100,"PHL",5,
0.00,11298,"DFW",5,
0.00,11995,"GSO",2,
0.00,12365,"IPT",2,
0.00,12953,"LGA",1,
0.00,10434,"AVP",1,
0.00,14100,"PHL",3,
0.00,14730,"SDF",3,
0.00,14711,"SCE",1,
0.00,10721,"BOS",2,
0.00,10721,"BOS",2,
0.00,12339,"IND",2,
0.00,14100,"PHL",5,
0.00,15412,"TYS",5,
0.00,12339,"IND",1,
0.00,12339,"IND",1,
0.00,14730,"SDF",2,
0.00,10792,"BUF",2,
0.00,14730,"SDF",4,
0.00,10529,"BDL",4,
0.00,14524,"RIC",4,
0.00,10198,"AGC",1,
0.00,12559,"JST",6,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,10397,"ATL",1,
0.00,14100,"PHL",6,
0.00,10529,"BDL",1,
0.00,13891,"ONT",1,
0.00,14908,"SNA",6,
0.00,14122,"PIT",2,
0.00,10322,"AOO",3,
0.00,10322,"AOO",1,
0.00,14576,"ROC",5,
0.00,14100,"PHL",4,
0.00,13230,"MDT",6,
0.00,14122,"PIT",4,
0.00,12339,"IND",6,
0.00,14100,"PHL",5,
0.00,12892,"LAX",5,
0.00,13230,"MDT",6,
0.00,14100,"PHL",4,
