Year,January,February,March ,April,May,June,July,August,September,October,November,December
2007,873.8,884.4,887.3,891.3,889.4,881.7,879.7,875.9,884.7,896.9,900.4,897.8
2008,873.2,884.7,884,896,893.1,884.1,878.1,878.1,891.1,901,901.6,897.6
2009,871.5,879.9,874.8,877.5,873.7,865.3,858.9,854,865,881.1,881.9,877.8
2010,858.1,865.6,869.6,880.1,885.4,876.3,865.5,863.1,876.1,891.9,895.8,892.5
2011,869.6,880.1,883.4,893,889.9,880.1,866.9,862.9,880.5,889.2,894.1,890.1
2012,867.4,878.7,885.5,890.3,888.6,880.6,869.8,868.9,888.2,898.3,902.9,899.2
2013,874.4,889.1,893.9,897.8,894.2,887,876.7,874.8,894.8,902.4,907.8,904
2014,884.5,894,897.1,907.7,905.8,898.8,892.9,891,911,922.5,924.4,923.5
2015,902.1,913.1,914.4,918.9,917.1,910.3,900.3,896.5,914,926.3,930.7,928.2
