"PASSENGERS","ORIGIN_AIRPORT_ID","ORIGIN","MONTH",
0.00,10529,"BDL",5,
0.00,14100,"PHL",5,
0.00,14576,"ROC",2,
0.00,12478,"JFK",2,
0.00,14100,"PHL",2,
0.00,13244,"MEM",10,
0.00,13121,"LWB",9,
0.00,11441,"DUJ",10,
0.00,14100,"PHL",10,
0.00,14100,"PHL",6,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",9,
0.00,11042,"CLE",10,
0.00,13244,"MEM",5,
0.00,14122,"PIT",7,
0.00,13891,"ONT",8,
0.00,10529,"BDL",10,
0.00,11193,"CVG",5,
0.00,14122,"PIT",11,
0.00,13244,"MEM",7,
0.00,12365,"IPT",8,
0.00,14100,"PHL",12,
0.00,14730,"SDF",11,
0.00,11577,"ERI",11,
0.00,11423,"DSM",10,
0.00,14100,"PHL",1,
0.00,14122,"PIT",10,
0.00,14100,"PHL",11,
0.00,13891,"ONT",4,
0.00,14100,"PHL",5,
0.00,14307,"PVD",2,
0.00,14100,"PHL",3,
0.00,13244,"MEM",8,
0.00,14100,"PHL",6,
0.00,14492,"RDU",3,
0.00,13891,"ONT",6,
0.00,13295,"MHR",12,
0.00,10135,"ABE",3,
0.00,11995,"GSO",5,
0.00,12339,"IND",11,
0.00,13851,"OKC",12,
0.00,13796,"OAK",12,
0.00,11278,"DCA",12,
0.00,14100,"PHL",12,
0.00,13296,"MHT",1,
0.00,14100,"PHL",6,
0.00,13230,"MDT",10,
0.00,12339,"IND",11,
0.00,10868,"CAE",10,
0.00,13230,"MDT",12,
0.00,13891,"ONT",9,
0.00,14122,"PIT",8,
0.00,13230,"MDT",10,
0.00,14122,"PIT",11,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",3,
0.00,14711,"SCE",1,
0.00,14100,"PHL",10,
0.00,14122,"PIT",10,
0.00,14100,"PHL",10,
0.00,14100,"PHL",10,
0.00,14524,"RIC",2,
0.00,13296,"MHT",4,
0.00,14730,"SDF",4,
0.00,14122,"PIT",5,
0.00,11057,"CLT",6,
0.00,11057,"CLT",6,
0.00,14100,"PHL",9,
0.00,14100,"PHL",11,
0.00,14122,"PIT",4,
0.00,13230,"MDT",5,
0.00,10721,"BOS",2,
0.00,14122,"PIT",3,
0.00,13796,"OAK",5,
0.00,11986,"GRR",7,
0.00,10135,"ABE",2,
0.00,15096,"SYR",3,
0.00,12339,"IND",3,
0.00,11042,"CLE",9,
0.00,14100,"PHL",10,
0.00,12917,"LCK",12,
0.00,13230,"MDT",1,
0.00,12559,"JST",8,
0.00,14100,"PHL",3,
0.00,14100,"PHL",1,
0.00,14100,"PHL",12,
0.00,15295,"TOL",7,
0.00,15295,"TOL",7,
0.00,15295,"TOL",7,
0.00,14100,"PHL",3,
0.00,11042,"CLE",4,
0.00,14100,"PHL",4,
0.00,14122,"PIT",12,
0.00,14100,"PHL",5,
0.00,10792,"BUF",4,
0.00,14122,"PIT",9,
0.00,11057,"CLT",8,
0.00,11146,"CRW",12,
0.00,14122,"PIT",6,
0.00,14100,"PHL",4,
0.00,10868,"CAE",12,
0.00,14122,"PIT",7,
0.00,14122,"PIT",1,
0.00,12339,"IND",9,
0.00,11193,"CVG",7,
0.00,10792,"BUF",3,
0.00,14100,"PHL",5,
0.00,13230,"MDT",8,
0.00,10135,"ABE",4,
0.00,10693,"BNA",11,
0.00,14100,"PHL",12,
0.00,14100,"PHL",12,
0.00,13230,"MDT",9,
0.00,14122,"PIT",7,
0.00,10557,"BFD",9,
0.00,11292,"DEN",6,
0.00,12365,"IPT",2,
0.00,14100,"PHL",11,
0.00,12339,"IND",1,
0.00,14100,"PHL",5,
0.00,14100,"PHL",5,
0.00,14100,"PHL",5,
0.00,14122,"PIT",4,
0.00,10135,"ABE",9,
0.00,10135,"ABE",9,
0.00,10135,"ABE",9,
0.00,10408,"ATW",10,
0.00,14711,"SCE",2,
0.00,12898,"LBE",8,
0.00,14100,"PHL",11,
0.00,11066,"CMH",12,
0.00,14100,"PHL",3,
0.00,10434,"AVP",1,
0.00,14122,"PIT",9,
0.00,14100,"PHL",12,
0.00,14100,"PHL",12,
0.00,12339,"IND",9,
0.00,12339,"IND",9,
0.00,14685,"SAV",5,
0.00,14100,"PHL",11,
0.00,13487,"MSP",12,
0.00,14100,"PHL",12,
0.00,11193,"CVG",1,
0.00,11193,"CVG",1,
0.00,14576,"ROC",10,
0.00,14122,"PIT",10,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,10434,"AVP",3,
