"PASSENGERS","ORIGIN_AIRPORT_ID","ORIGIN","MONTH",
0.00,13230,"MDT",12,
0.00,13244,"MEM",4,
0.00,11042,"CLE",2,
0.00,14122,"PIT",5,
0.00,14122,"PIT",2,
0.00,10693,"BNA",6,
0.00,14730,"SDF",8,
0.00,14730,"SDF",8,
0.00,10434,"AVP",5,
0.00,14100,"PHL",8,
0.00,14711,"SCE",1,
0.00,14100,"PHL",10,
0.00,14100,"PHL",10,
0.00,14100,"PHL",7,
0.00,11618,"EWR",4,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14100,"PHL",7,
0.00,14107,"PHX",7,
0.00,14107,"PHX",7,
0.00,12889,"LAS",8,
0.00,14321,"PWM",9,
0.00,12898,"LBE",12,
0.00,14100,"PHL",4,
0.00,13232,"MDW",4,
0.00,14100,"PHL",4,
0.00,14122,"PIT",6,
0.00,10792,"BUF",2,
0.00,13230,"MDT",5,
0.00,14100,"PHL",5,
0.00,14100,"PHL",5,
0.00,14100,"PHL",6,
0.00,14100,"PHL",12,
0.00,14100,"PHL",9,
0.00,10135,"ABE",7,
0.00,13230,"MDT",6,
0.00,13230,"MDT",6,
0.00,14122,"PIT",4,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,10434,"AVP",2,
0.00,15096,"SYR",2,
0.00,13230,"MDT",10,
0.00,14122,"PIT",10,
0.00,11618,"EWR",8,
0.00,13230,"MDT",6,
0.00,14122,"PIT",12,
0.00,12339,"IND",1,
0.00,14122,"PIT",5,
0.00,14122,"PIT",5,
0.00,14122,"PIT",2,
0.00,12559,"JST",6,
0.00,14100,"PHL",1,
0.00,10721,"BOS",4,
0.00,12266,"IAH",5,
0.00,12339,"IND",12,
0.00,14122,"PIT",12,
0.00,14122,"PIT",12,
0.00,12339,"IND",12,
0.00,14122,"PIT",5,
0.00,14122,"PIT",1,
0.00,14730,"SDF",6,
0.00,14122,"PIT",8,
0.00,14122,"PIT",8,
0.00,11697,"FLL",8,
0.00,14122,"PIT",8,
0.00,10888,"CBE",6,
0.00,13230,"MDT",5,
0.00,15096,"SYR",9,
0.00,14122,"PIT",3,
0.00,10529,"BDL",2,
0.00,10529,"BDL",2,
0.00,14100,"PHL",12,
0.00,13244,"MEM",1,
0.00,14100,"PHL",8,
0.00,14100,"PHL",12,
0.00,14100,"PHL",3,
0.00,13230,"MDT",1,
0.00,14321,"PWM",11,
0.00,12478,"JFK",2,
0.00,14122,"PIT",3,
0.00,10135,"ABE",4,
0.00,10434,"AVP",6,
0.00,14122,"PIT",3,
0.00,10135,"ABE",11,
0.00,10135,"ABE",11,
0.00,14730,"SDF",5,
0.00,14685,"SAV",6,
0.00,14122,"PIT",1,
0.00,14122,"PIT",6,
0.00,14122,"PIT",9,
0.00,13230,"MDT",9,
0.00,14122,"PIT",10,
0.00,12365,"IPT",12,
0.00,13230,"MDT",12,
0.00,11577,"ERI",9,
0.00,13204,"MCO",6,
0.00,13204,"MCO",6,
0.00,14747,"SEA",7,
0.00,10792,"BUF",8,
0.00,10135,"ABE",8,
0.00,14122,"PIT",10,
0.00,12478,"JFK",11,
0.00,14711,"SCE",9,
0.00,14100,"PHL",8,
0.00,14122,"PIT",2,
0.00,10557,"BFD",1,
0.00,14321,"PWM",10,
0.00,11042,"CLE",1,
0.00,15096,"SYR",12,
0.00,14685,"SAV",7,
0.00,14100,"PHL",10,
0.00,10322,"AOO",10,
0.00,14100,"PHL",5,
0.00,14100,"PHL",5,
0.00,13230,"MDT",7,
0.00,14122,"PIT",4,
0.00,14100,"PHL",6,
0.00,14100,"PHL",1,
0.00,12187,"HOP",1,
0.00,14730,"SDF",4,
0.00,14100,"PHL",8,
0.00,10792,"BUF",10,
0.00,13230,"MDT",1,
0.00,13796,"OAK",2,
0.00,15096,"SYR",6,
0.00,10135,"ABE",6,
0.00,12266,"IAH",6,
0.00,11193,"CVG",9,
0.00,11193,"CVG",9,
0.00,11193,"CVG",9,
0.00,13230,"MDT",11,
0.00,10135,"ABE",12,
0.00,10135,"ABE",8,
0.00,14122,"PIT",11,
0.00,14122,"PIT",11,
0.00,12478,"JFK",12,
