"PASSENGERS","ORIGIN_AIRPORT_ID","ORIGIN","MONTH",
0.00,10257,"ALB",1,
0.00,10257,"ALB",1,
0.00,10434,"AVP",1,
0.00,10434,"AVP",1,
0.00,10434,"AVP",1,
0.00,10434,"AVP",1,
0.00,10434,"AVP",1,
0.00,10577,"BGM",1,
0.00,10792,"BUF",1,
0.00,10792,"BUF",1,
0.00,11146,"CRW",1,
0.00,11618,"EWR",1,
0.00,11996,"GSP",1,
0.00,13296,"MHT",1,
0.00,14524,"RIC",1,
0.00,14576,"ROC",1,
0.00,14711,"SCE",1,
0.00,14711,"SCE",1,
0.00,14711,"SCE",1,
0.00,14711,"SCE",1,
0.00,14711,"SCE",1,
0.00,11441,"DUJ",1,
0.00,12559,"JST",1,
0.00,10397,"ATL",1,
0.00,10529,"BDL",1,
0.00,10721,"BOS",1,
0.00,10792,"BUF",1,
0.00,11298,"DFW",1,
0.00,11423,"DSM",1,
0.00,11618,"EWR",1,
0.00,12264,"IAD",1,
0.00,12478,"JFK",1,
0.00,13230,"MDT",1,
0.00,13244,"MEM",1,
0.00,13296,"MHT",1,
0.00,13487,"MSP",1,
0.00,13796,"OAK",1,
0.00,13891,"ONT",1,
0.00,13930,"ORD",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14524,"RIC",1,
0.00,14730,"SDF",1,
0.00,14730,"SDF",1,
0.00,14730,"SDF",1,
0.00,15096,"SYR",1,
0.00,14122,"PIT",1,
0.00,14100,"PHL",1,
0.00,14122,"PIT",1,
0.00,14492,"RDU",1,
0.00,14524,"RIC",1,
0.00,10792,"BUF",1,
0.00,11066,"CMH",1,
0.00,11193,"CVG",1,
0.00,12197,"HPN",1,
0.00,12264,"IAD",1,
0.00,12892,"LAX",1,
0.00,13303,"MIA",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14711,"SCE",1,
0.00,15370,"TUL",1,
0.00,10135,"ABE",1,
0.00,10135,"ABE",1,
0.00,10135,"ABE",1,
0.00,10434,"AVP",1,
0.00,10721,"BOS",1,
0.00,10821,"BWI",1,
0.00,11042,"CLE",1,
0.00,11618,"EWR",1,
0.00,11618,"EWR",1,
0.00,12339,"IND",1,
0.00,12339,"IND",1,
0.00,12339,"IND",1,
0.00,12339,"IND",1,
0.00,12365,"IPT",1,
0.00,13230,"MDT",1,
0.00,13230,"MDT",1,
0.00,13230,"MDT",1,
0.00,13230,"MDT",1,
0.00,13244,"MEM",1,
0.00,13244,"MEM",1,
0.00,13244,"MEM",1,
0.00,13244,"MEM",1,
0.00,13931,"ORF",1,
0.00,13931,"ORF",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14524,"RIC",1,
0.00,14711,"SCE",1,
0.00,15096,"SYR",1,
0.00,10135,"ABE",1,
0.00,10423,"AUS",1,
0.00,10721,"BOS",1,
0.00,11618,"EWR",1,
0.00,11884,"GEG",1,
0.00,12012,"GUC",1,
0.00,12264,"IAD",1,
0.00,12441,"JAC",1,
0.00,12953,"LGA",1,
0.00,13230,"MDT",1,
0.00,13230,"MDT",1,
0.00,13930,"ORD",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14635,"RSW",1,
0.00,14771,"SFO",1,
0.00,14893,"SMF",1,
0.00,16101,"YKM",1,
0.00,14100,"PHL",1,
0.00,12892,"LAX",1,
0.00,14122,"PIT",1,
0.00,14771,"SFO",1,
0.00,14122,"PIT",1,
0.00,10135,"ABE",1,
0.00,11057,"CLT",1,
0.00,11066,"CMH",1,
0.00,12945,"LEX",1,
0.00,13230,"MDT",1,
0.00,13230,"MDT",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14122,"PIT",1,
0.00,14576,"ROC",1,
0.00,15096,"SYR",1,
0.00,11193,"CVG",1,
0.00,14100,"PHL",1,
0.00,11193,"CVG",1,
0.00,14100,"PHL",1,
0.00,11193,"CVG",1,
0.00,14100,"PHL",1,
0.00,11193,"CVG",1,
0.00,14100,"PHL",1,
0.00,10257,"ALB",2,
0.00,10397,"ATL",2,
0.00,10529,"BDL",2,
0.00,10721,"BOS",2,
0.00,10792,"BUF",2,
0.00,11298,"DFW",2,
0.00,11423,"DSM",2,
0.00,12478,"JFK",2,
0.00,13230,"MDT",2,
0.00,13296,"MHT",2,
0.00,13487,"MSP",2,
0.00,13796,"OAK",2,
0.00,13891,"ONT",2,
0.00,13930,"ORD",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14524,"RIC",2,
0.00,14730,"SDF",2,
0.00,14730,"SDF",2,
0.00,14730,"SDF",2,
0.00,15096,"SYR",2,
0.00,10434,"AVP",2,
0.00,13204,"MCO",2,
0.00,14100,"PHL",2,
0.00,16091,"YIP",2,
0.00,14711,"SCE",2,
0.00,14100,"PHL",2,
0.00,14771,"SFO",2,
0.00,11193,"CVG",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,11193,"CVG",2,
0.00,14100,"PHL",2,
0.00,10529,"BDL",2,
0.00,11193,"CVG",2,
0.00,11618,"EWR",2,
0.00,14100,"PHL",2,
0.00,11003,"CID",2,
0.00,11618,"EWR",2,
0.00,11982,"GRK",2,
0.00,13487,"MSP",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14492,"RDU",2,
0.00,14711,"SCE",2,
0.00,11441,"DUJ",2,
0.00,12559,"JST",2,
0.00,10721,"BOS",2,
0.00,14122,"PIT",2,
0.00,10693,"BNA",2,
0.00,12217,"HSV",2,
0.00,13230,"MDT",2,
0.00,13230,"MDT",2,
0.00,13230,"MDT",2,
0.00,13931,"ORF",2,
0.00,14100,"PHL",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14321,"PWM",2,
0.00,11278,"DCA",2,
0.00,11618,"EWR",2,
0.00,12266,"IAH",2,
0.00,12441,"JAC",2,
0.00,12758,"KOA",2,
0.00,12953,"LGA",2,
0.00,13303,"MIA",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14635,"RSW",2,
0.00,14679,"SAN",2,
0.00,14771,"SFO",2,
0.00,11027,"CKB",2,
0.00,14122,"PIT",2,
0.00,10135,"ABE",2,
0.00,10135,"ABE",2,
0.00,10135,"ABE",2,
0.00,10135,"ABE",2,
0.00,10434,"AVP",2,
0.00,11042,"CLE",2,
0.00,11618,"EWR",2,
0.00,11618,"EWR",2,
0.00,12339,"IND",2,
0.00,12339,"IND",2,
0.00,12339,"IND",2,
0.00,12339,"IND",2,
0.00,12365,"IPT",2,
0.00,13230,"MDT",2,
0.00,13230,"MDT",2,
0.00,13230,"MDT",2,
0.00,13230,"MDT",2,
0.00,13244,"MEM",2,
0.00,13244,"MEM",2,
0.00,13244,"MEM",2,
0.00,13244,"MEM",2,
0.00,13931,"ORF",2,
0.00,13931,"ORF",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14524,"RIC",2,
0.00,14711,"SCE",2,
0.00,15070,"SWF",2,
0.00,10434,"AVP",2,
0.00,10434,"AVP",2,
0.00,10792,"BUF",2,
0.00,10792,"BUF",2,
0.00,11146,"CRW",2,
0.00,11641,"FAY",2,
0.00,12264,"IAD",2,
0.00,14576,"ROC",2,
0.00,14711,"SCE",2,
0.00,14711,"SCE",2,
0.00,14711,"SCE",2,
0.00,14711,"SCE",2,
0.00,15356,"TTN",2,
0.00,10397,"ATL",3,
0.00,10529,"BDL",3,
0.00,10721,"BOS",3,
0.00,10792,"BUF",3,
0.00,11423,"DSM",3,
0.00,12478,"JFK",3,
0.00,13230,"MDT",3,
0.00,13296,"MHT",3,
0.00,13487,"MSP",3,
0.00,13796,"OAK",3,
0.00,13891,"ONT",3,
0.00,13930,"ORD",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14524,"RIC",3,
0.00,14730,"SDF",3,
0.00,14730,"SDF",3,
0.00,14730,"SDF",3,
0.00,15096,"SYR",3,
0.00,10434,"AVP",3,
0.00,10434,"AVP",3,
0.00,10434,"AVP",3,
0.00,10434,"AVP",3,
0.00,10792,"BUF",3,
0.00,10821,"BWI",3,
0.00,11146,"CRW",3,
0.00,11267,"DAY",3,
0.00,12264,"IAD",3,
0.00,13230,"MDT",3,
0.00,13296,"MHT",3,
0.00,14711,"SCE",3,
0.00,14711,"SCE",3,
0.00,14711,"SCE",3,
0.00,14711,"SCE",3,
0.00,14711,"SCE",3,
0.00,12559,"JST",3,
0.00,14711,"SCE",3,
0.00,15096,"SYR",3,
0.00,14711,"SCE",3,
0.00,14711,"SCE",3,
0.00,11995,"GSO",3,
0.00,11995,"GSO",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,11193,"CVG",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,10397,"ATL",3,
0.00,11433,"DTW",3,
0.00,11697,"FLL",3,
0.00,12339,"IND",3,
0.00,14100,"PHL",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,10135,"ABE",3,
0.00,10620,"BIL",3,
0.00,10821,"BWI",3,
0.00,10821,"BWI",3,
0.00,11042,"CLE",3,
0.00,11066,"CMH",3,
0.00,11292,"DEN",3,
0.00,11298,"DFW",3,
0.00,11618,"EWR",3,
0.00,12094,"HDN",3,
0.00,12264,"IAD",3,
0.00,12264,"IAD",3,
0.00,12441,"JAC",3,
0.00,12953,"LGA",3,
0.00,12982,"LIH",3,
0.00,13204,"MCO",3,
0.00,13204,"MCO",3,
0.00,13230,"MDT",3,
0.00,13230,"MDT",3,
0.00,13230,"MDT",3,
0.00,13487,"MSP",3,
0.00,13487,"MSP",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14570,"RNO",3,
0.00,14635,"RSW",3,
0.00,14679,"SAN",3,
0.00,14893,"SMF",3,
0.00,14986,"SRQ",3,
0.00,15304,"TPA",3,
0.00,10792,"BUF",3,
0.00,10821,"BWI",3,
0.00,14100,"PHL",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14711,"SCE",3,
0.00,14730,"SDF",3,
0.00,11193,"CVG",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,11193,"CVG",3,
0.00,14100,"PHL",3,
0.00,14576,"ROC",3,
0.00,14711,"SCE",3,
0.00,12892,"LAX",3,
0.00,14100,"PHL",3,
0.00,14831,"SJC",3,
0.00,14893,"SMF",3,
0.00,14100,"PHL",3,
0.00,10135,"ABE",3,
0.00,10135,"ABE",3,
0.00,10135,"ABE",3,
0.00,10434,"AVP",3,
0.00,11042,"CLE",3,
0.00,11618,"EWR",3,
0.00,11618,"EWR",3,
0.00,11618,"EWR",3,
0.00,11995,"GSO",3,
0.00,12339,"IND",3,
0.00,12339,"IND",3,
0.00,12339,"IND",3,
0.00,12339,"IND",3,
0.00,12365,"IPT",3,
0.00,12898,"LBE",3,
0.00,13230,"MDT",3,
0.00,13230,"MDT",3,
0.00,13230,"MDT",3,
0.00,13230,"MDT",3,
0.00,13244,"MEM",3,
0.00,13244,"MEM",3,
0.00,13244,"MEM",3,
0.00,13244,"MEM",3,
0.00,13931,"ORF",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14100,"PHL",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14122,"PIT",3,
0.00,14321,"PWM",3,
0.00,14711,"SCE",3,
0.00,14711,"SCE",3,
0.00,11027,"CKB",1,
0.00,14122,"PIT",1,
0.00,10397,"ATL",4,
0.00,10529,"BDL",4,
0.00,10721,"BOS",4,
0.00,10792,"BUF",4,
0.00,10821,"BWI",4,
0.00,11423,"DSM",4,
0.00,11618,"EWR",4,
0.00,12478,"JFK",4,
0.00,13230,"MDT",4,
0.00,13296,"MHT",4,
0.00,13487,"MSP",4,
0.00,13796,"OAK",4,
0.00,13891,"ONT",4,
0.00,13930,"ORD",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14100,"PHL",4,
0.00,14122,"PIT",4,
0.00,14122,"PIT",4,
0.00,14122,"PIT",4,
0.00,14524,"RIC",4,
0.00,14730,"SDF",4,
0.00,14730,"SDF",4,
0.00,14730,"SDF",4,
0.00,15096,"SYR",4,
0.00,10135,"ABE",4,
0.00,10257,"ALB",4,
0.00,10257,"ALB",4,
0.00,10434,"AVP",4,
0.00,10792,"BUF",4,
0.00,10821,"BWI",4,
0.00,11618,"EWR",4,
0.00,12397,"ITH",4,
0.00,14524,"RIC",4,
0.00,14576,"ROC",4,
0.00,14711,"SCE",4,
0.00,14711,"SCE",4,
0.00,15096,"SYR",4,
0.00,10135,"ABE",4,
0.00,13930,"ORD",4,
0.00,11441,"DUJ",4,
0.00,11292,"DEN",4,
