Year,January,February,March ,April,May,June,July,August,September,October,November,December
2007,822.87,810.29,821.52,820.26,817.70,814.65,809.17,814.55,814.41,807.71,817.45,817.03
2008,826.63,823.52,848.02,820.76,811.91,816.27,801.38,820.31,817.88,825.56,839.03,823.63
2009,844.86,843.88,853.52,828.99,827.79,815.63,810.95,836.19,819.31,828.01,842.27,825.18
2010,842.53,809.25,837.50,830.17,832.61,822.53,820.18,847.67,834.77,845.08,850.30,848.72
2011,908.10,882.88,906.54,885.27,896.38,865.05,869.72,881.67,873.98,873.96,890.10,896.31
2012,894.88,878.92,871.42,877.91,865.31,890.35,894.28,895.70,902.36,885.74,897.39,909.56
2013,892.08,939.64,936.86,926.47,902.55,913.58,901.15,887.16,916.97,909.22,897.16,916.76
2014,923.94,918.61,934.03,909.29,911.57,892.85,853.27,897.05,889.91,877.74,916.81,883.95
2015,913.92,924.26,930.81,913.75,924.60,941.85,935.70,964.83,958.42,957.66,965.18,949.92
